Taylor series approximation of e^1.0
   n                 term          partial_sum                error
------------------------------------------------------------------
   0    1.000000000000000    1.000000000000000             1.72e+00
   1    1.000000000000000    2.000000000000000             7.18e-01
   2    0.500000000000000    2.500000000000000             2.18e-01
   3    0.166666666666667    2.666666666666667             5.16e-02
   4    0.041666666666667    2.708333333333333             9.95e-03
   5    0.008333333333333    2.716666666666666             1.62e-03
   6    0.001388888888889    2.718055555555555             2.26e-04
   7    0.000198412698413    2.718253968253968             2.79e-05
   8    0.000024801587302    2.718278769841270             3.06e-06
   9    0.000002755731922    2.718281525573192             3.03e-07
  10    0.000000275573192    2.718281801146385             2.73e-08
  11    0.000000025052108    2.718281826198493             2.26e-09
  12    0.000000002087676    2.718281828286169             1.73e-10
  13    0.000000000160590    2.718281828446759             1.23e-11
  14    0.000000000011471    2.718281828458230             8.15e-13
  15    0.000000000000765    2.718281828458995             5.02e-14
  16    0.000000000000048    2.718281828459043             2.22e-15
  17    0.000000000000003    2.718281828459046             4.44e-16
  18    0.000000000000000    2.718281828459046             4.44e-16
  19    0.000000000000000    2.718281828459046             4.44e-16
